city_a,city_b,n_flights_annual,avg_seats,air_pax_estimated,distance_km
Budapest,Edinburgh,658.0,189.2,99595,
Budapest,Frankfurt,2830.0,193.8,438763,
Budapest,Geneva,646.0,170.7,88218,
Budapest,Hamburg,413.0,161.4,53327,
Budapest,Helsinki,1026.0,135.9,111547,
Budapest,Lisbon,648.0,198.7,103006,
Budapest,Ljubljana,40.0,157.1,5027,
Budapest,London,7822.0,189.2,1183938,
Budapest,Lyon,15.0,183.2,2198,
Budapest,Madrid,1446.0,191.5,221527,
Budapest,Manchester,818.0,185.6,121457,
Budapest,Marseille,257.0,183.2,37666,
Budapest,Milan,2827.0,188.5,426312,
Budapest,Minsk,2.0,128.0,205,
Budapest,Munich,2274.0,158.9,289071,
Budapest,Naples,9.0,206.6,1488,
Budapest,Nicosia,703.0,202.9,114111,
Budapest,Nottingham,210.0,188.5,31668,
Budapest,Oslo,778.0,191.4,119127,
Budapest,Palermo,82.0,184.5,12103,
Budapest,Palma,438.0,190.8,66856,
Budapest,Paris,3222.0,184.8,476340,
Budapest,Porto,334.0,195.5,52238,
Budapest,Prague,1430.0,197.8,226283,
Budapest,Riga,176.0,160.7,22627,
Budapest,Rome,1669.0,195.2,260631,
Budapest,Rotterdam,20.0,150.2,2403,
Budapest,Seville,120.0,195.1,18730,
Budapest,Stockholm,584.0,185.4,86619,
Budapest,Strasbourg,1184.0,190.8,180726,
Budapest,Stuttgart,916.0,159.4,116808,
Budapest,Tallinn,12.0,172.2,1653,
Budapest,Tenerife,0.0,178.0,0,
Budapest,Toulouse,26.0,183.2,3811,
Budapest,Turin,46.0,178.0,6550,
Budapest,Venice,353.0,181.1,51143,
Budapest,Vienna,1946.0,126.0,196157,
Budapest,Vilnius,30.0,171.2,4109,
Budapest,Warsaw,2884.0,104.9,242025,
Budapest,Zurich,1986.0,126.9,201619,
Catania,Cologne,0.0,180.0,0,
Catania,Copenhagen,0.0,180.0,0,
Catania,Frankfurt,2.0,202.5,324,
Catania,London,2.0,170.0,272,
Catania,Milan,13.0,176.5,1836,
Catania,Munich,2.0,180.0,288,
Catania,Paris,2.0,184.5,295,
Catania,Prague,2.0,220.0,352,
Catania,Rome,12.0,174.4,1674,
Catania,Strasbourg,2.0,180.0,288,
Catania,Stuttgart,1.0,160.0,128,
Catania,Turin,2.0,209.7,336,
Catania,Venice,2.0,199.3,319,
Catania,Vienna,1.0,180.0,144,
Catania,Zurich,0.0,180.0,0,
Cologne,Copenhagen,630.0,186.6,94046,
Cologne,Edinburgh,334.0,168.8,45103,
Cologne,Frankfurt,695.0,172.3,95799,152.6
Cologne,Geneva,404.0,88.5,28603,529.4
Cologne,Hamburg,1590.0,160.1,203647,357.2
Cologne,Helsinki,48.0,190.5,7315,
Cologne,Lisbon,682.0,184.7,100772,1850.7
Cologne,Ljubljana,280.0,82.1,18390,
Cologne,London,4567.0,173.7,634630,496.7
Cologne,Lyon,120.0,213.5,20496,597.0
Cologne,Madrid,850.0,193.1,131308,1429.5
Cologne,Manchester,547.0,183.2,80168,
Cologne,Marseille,474.0,172.3,65336,857.3
Cologne,Milan,3886.0,182.5,567356,630.3
Cologne,Munich,5978.0,145.3,694883,456.0
Cologne,Naples,2.0,162.2,260,1254.5
Cologne,Nicosia,495.0,189.3,74963,
Cologne,Nottingham,2497.0,187.7,374950,
Cologne,Oslo,144.0,186.9,21531,
Cologne,Palermo,106.0,178.8,15162,1511.7
Cologne,Palma,6736.0,178.0,959206,1307.1
Cologne,Paris,2001.0,257.7,412526,402.5
Cologne,Porto,1232.0,182.2,179576,1614.6
Cologne,Prague,710.0,187.1,106273,
Cologne,Riga,183.0,183.4,26850,
Cologne,Rome,1195.0,184.5,176382,1091.2
Cologne,Rotterdam,70.0,149.0,8344,203.6
Cologne,Seville,248.0,186.0,36902,1819.9
Cologne,Stockholm,825.0,189.3,124938,
Cologne,Strasbourg,676.0,113.3,61273,267.4
Cologne,Stuttgart,629.0,178.9,90022,287.5
Cologne,Tallinn,17.0,150.9,2052,
Cologne,Tenerife,12.0,180.2,1730,
Cologne,Toulouse,17.0,161.0,2190,914.1
Cologne,Turin,14.0,153.3,1717,654.2
Cologne,Venice,999.0,191.6,153127,729.5
Cologne,Vienna,3730.0,167.9,501014,743.2
Cologne,Vilnius,244.0,180.1,35156,
Cologne,Warsaw,528.0,206.4,87183,
Cologne,Zagreb,12.0,119.5,1147,
Cologne,Zurich,1267.0,160.2,162379,413.3
Copenhagen,Edinburgh,1264.0,179.1,181106,
Copenhagen,Frankfurt,3712.0,175.0,519680,
Copenhagen,Geneva,1705.0,146.2,199417,
Copenhagen,Hamburg,2034.0,78.9,128386,
Copenhagen,Helsinki,4721.0,164.7,622039,
Copenhagen,Lisbon,1168.0,188.8,176415,
Copenhagen,Ljubljana,19.0,129.1,1962,
Copenhagen,London,11308.0,178.4,1613878,
Copenhagen,Lyon,86.0,166.6,11462,
Copenhagen,Madrid,1257.0,193.2,194282,
Copenhagen,Manchester,2472.0,163.9,324129,
Copenhagen,Marseille,70.0,177.2,9923,
Copenhagen,Milan,3460.0,169.1,468069,
Copenhagen,Munich,3518.0,162.6,457621,
Copenhagen,Naples,6.0,170.6,819,
Copenhagen,Nicosia,610.0,198.5,96868,
Copenhagen,Nottingham,470.0,198.6,74674,
Copenhagen,Oslo,10365.0,181.0,1500852,
Copenhagen,Palermo,26.0,182.9,3804,
Copenhagen,Palma,2058.0,183.5,302114,
Copenhagen,Paris,6093.0,163.7,797939,
Copenhagen,Porto,260.0,184.7,38418,
Copenhagen,Prague,1490.0,172.0,205024,
Copenhagen,Riga,1480.0,151.0,178784,
Copenhagen,Rome,2036.0,189.2,308169,
Copenhagen,Rotterdam,56.0,162.8,7293,
Copenhagen,Seville,6.0,181.3,870,
Copenhagen,Stockholm,9187.0,184.8,1358206,
Copenhagen,Strasbourg,526.0,178.0,74902,
Copenhagen,Stuttgart,466.0,96.2,35863,
Copenhagen,Tallinn,614.0,126.2,61989,
Copenhagen,Tenerife,19.0,191.7,2914,
Copenhagen,Toulouse,10.0,162.5,1300,
Copenhagen,Turin,194.0,187.2,29053,
Copenhagen,Venice,626.0,169.5,84886,
Copenhagen,Vienna,2819.0,186.4,420369,
Copenhagen,Vilnius,1015.0,90.8,73730,
Copenhagen,Warsaw,2966.0,122.4,290431,
Copenhagen,Zagreb,4.0,135.1,432,
Copenhagen,Zurich,3190.0,145.5,371316,
Edinburgh,Frankfurt,1412.0,192.4,217335,
Edinburgh,Geneva,1220.0,168.6,164554,
Edinburgh,Hamburg,362.0,177.6,51433,
Edinburgh,Helsinki,397.0,128.5,40812,
Edinburgh,Lisbon,456.0,175.7,64095,
Edinburgh,Ljubljana,0.0,150.0,0,
Edinburgh,London,19704.0,152.2,2399159,
Edinburgh,Lyon,68.0,165.7,9014,
Edinburgh,Madrid,922.0,177.8,131145,
Edinburgh,Manchester,86.0,168.8,11613,
Edinburgh,Marseille,262.0,181.8,38105,
Edinburgh,Milan,983.0,178.0,139979,
Edinburgh,Munich,436.0,158.2,55180,
Edinburgh,Naples,7.0,181.0,1014,
Edinburgh,Nicosia,192.0,185.1,28431,
Edinburgh,Nottingham,2282.0,166.2,303415,
