from_city,to_city,operator,travel_time_min,frequency_per_day,night_train,iso_code,capacity_seats,avg_pass_per_train_km_eurostat,load_factor_implied,distance_km,rail_demand_proxy,fallback_used
Strasbourg,Stuttgart,Germany,70,13.5,False,DE,490,120.59,0.2461,107.4,174848.0,False
Strasbourg,Zurich,Netherlands,124,6.0,True,NL(fallback=EU_median),290,93.32,0.3218,148.0,82870.3,True
Stuttgart,Cologne,Germany,171,14.9,False,DE,490,120.59,0.2461,287.5,516590.9,False
Stuttgart,Frankfurt,Germany,72,132.0,True,DE,490,120.59,0.2461,152.5,2427540.3,False
Stuttgart,Munich,Germany,101,125.6,True,DE,490,120.59,0.2461,190.8,2889952.3,False
Stuttgart,Nuremberg,Germany,99,22.4,False,DE,490,120.59,0.2461,157.2,424642.3,False
Stuttgart,Strasbourg,Germany,76,11.9,False,DE,490,120.59,0.2461,107.4,154125.3,False
The Hague,Amsterdam,Netherlands,6,253.0,True,NL(fallback=EU_median),290,93.32,0.3218,52.1,1230110.5,True
The Hague,Rotterdam,Netherlands,2,413.2,False,NL(fallback=EU_median),290,93.32,0.3218,21.1,813633.2,True
Toulouse,Bordeaux,France,140,12.5,False,FR,450,276.35,0.6141,212.0,732329.7,False
Toulouse,Lyon,France,237,30.6,False,FR,450,276.35,0.6141,359.6,3040898.4,False
Toulouse,Marseille,France,230,6.3,False,FR,450,276.35,0.6141,319.6,556426.9,False
Toulouse,Paris,France,423,4.0,True,FR,450,276.35,0.6141,587.8,649756.1,False
Turin,Genoa,Italy,33,242.0,False,IT,400,160.06,0.4001,123.9,4799070.9,False
Turin,Lyon,Italy,234,10.0,False,IT,400,160.06,0.4001,234.1,374689.8,False
Turin,Milan,Italy,36,428.2,False,IT,400,160.06,0.4001,125.5,8601480.3,False
Turin,Paris,France,333,2.2,False,FR,450,276.35,0.6141,583.7,354873.2,False
Utrecht,Amsterdam,Germany,3,443.0,True,DE,490,120.59,0.2461,35.2,1880481.5,False
Utrecht,Berlin,Netherlands,297,4.3,True,NL(fallback=EU_median),290,93.32,0.3218,565.2,226807.0,True
Utrecht,Bremen,Netherlands,208,0.9,False,NL(fallback=EU_median),290,93.32,0.3218,272.0,22845.3,True
Utrecht,Cologne,Germany,160,0.8999999999999999,True,DE,490,120.59,0.2461,180.4,19579.5,False
Utrecht,Dortmund,Germany,135,6.2,True,DE,490,120.59,0.2461,173.4,129647.3,False
Utrecht,Duisburg,Germany,81,7.899999999999999,True,DE,490,120.59,0.2461,134.7,128326.8,False
Utrecht,Dusseldorf,Netherlands,107,1.5,False,NL(fallback=EU_median),290,93.32,0.3218,149.6,20941.5,True
Utrecht,Hamburg,Netherlands,264,1.2,False,NL(fallback=EU_median),290,93.32,0.3218,365.2,40897.6,True
Utrecht,Hannover,Netherlands,216,0.5,False,NL(fallback=EU_median),290,93.32,0.3218,315.5,14721.6,True
Utrecht,Liege,Netherlands,114,34.0,False,NL(fallback=EU_median),290,93.32,0.3218,164.9,523221.3,True
Utrecht,Nuremberg,Germany,477,2.0,False,DE,490,120.59,0.2461,510.9,123222.1,False
Utrecht,Rotterdam,Netherlands,9,285.7,False,NL(fallback=EU_median),290,93.32,0.3218,47.8,1274453.5,True
Valencia,Barcelona,Spain,188,19.0,False,ES,330,200.06,0.6062,302.5,1149832.5,False
Valencia,Madrid,Spain,116,76.0,False,ES,330,200.06,0.6062,302.0,4591727.9,False
Valencia,Murcia,Spain,205,96.0,False,ES,330,200.06,0.6062,177.7,3412826.9,False
Valencia,Seville,Spain,260,1.0,False,ES,330,200.06,0.6062,539.7,107971.2,False
Venice,Milan,Switzerland,121,115.9,False,CH,400,106.06,0.2651,245.2,3014070.4,False
Venice,Munich,Germany,391,3.9,False,DE,490,120.59,0.2461,305.7,143774.8,False
