from_city,to_city,operator,travel_time_min,frequency_per_day,night_train,iso_code,capacity_seats,avg_pass_per_train_km_eurostat,load_factor_implied,distance_km,rail_demand_proxy,fallback_used
Lyon,Barcelona,Spain,288,3.0,False,ES,330,200.06,0.6062,531.0,318692.2,False
Lyon,Geneva,France,71,54.1,False,FR,450,276.35,0.6141,112.2,1677455.2,False
Lyon,Marseille,Germany,70,223.1,False,DE,490,120.59,0.2461,275.9,7422905.7,False
Lyon,Nantes,France,402,18.1,False,FR,450,276.35,0.6141,516.4,2583007.2,False
Lyon,Paris,France,111,492.0,True,FR,450,276.35,0.6141,393.2,53461287.6,False
Lyon,Strasbourg,Germany,217,94.4,False,DE,490,120.59,0.2461,383.8,4369177.0,False
Lyon,Toulouse,France,245,30.2,False,FR,450,276.35,0.6141,359.6,3001148.1,False
Lyon,Turin,Italy,234,14.0,False,IT,400,160.06,0.4001,234.1,524565.8,False
Madrid,Barcelona,Spain,182,356.0,False,ES,330,200.06,0.6062,504.2,35909424.4,False
Madrid,Bilbao,Spain,259,8.0,False,ES,330,200.06,0.6062,323.0,516949.5,False
Madrid,Granada,Spain,194,7.0,False,ES,330,200.06,0.6062,359.1,502885.4,False
Madrid,Malaga,Spain,159,45.0,False,ES,330,200.06,0.6062,415.7,3742382.2,False
Madrid,Murcia,Spain,149,10.0,False,ES,330,200.06,0.6062,349.4,699002.1,False
Madrid,Seville,Spain,153,72.0,False,ES,330,200.06,0.6062,390.3,5621945.8,False
Madrid,Valencia,Spain,114,89.0,False,ES,330,200.06,0.6062,302.0,5377155.0,False
Malaga,Barcelona,Spain,363,2.0,False,ES,330,200.06,0.6062,769.1,307729.0,False
Malaga,Granada,Spain,77,3.0,False,ES,330,200.06,0.6062,89.1,53475.5,False
