city_a,city_b,distance_km,V_air,V_rail,V_total,weight,air_share,rail_share,has_air,has_rail
Leipzig,Murcia,1822.5411010770729,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Nantes,1106.9546104412782,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Naples,1175.1803345237747,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Nice,931.10183619158,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Nuremberg,228.81876179586652,0.0,642160.8899643228,642160.8899643228,0.0023989492281380623,0.0,1.0,False,True
Leipzig,Palermo,1472.3843095542734,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Palma,1509.5905023991897,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Paris,765.7281170733618,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Porto,1960.3902579681453,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Rome,1050.589107245303,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Rotterdam,548.2896499863701,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Seville,2117.9083774828955,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Strasbourg,450.8150047464963,0.0,200961.45613310553,200961.45613310553,0.0007507407218505613,0.0,1.0,False,True
Leipzig,Stuttgart,364.4166588712253,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,The Hague,561.941636497105,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Toulouse,1186.8627712977645,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Turin,778.3633934237182,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Utrecht,506.1252543484941,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Valencia,1647.7608687583518,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Venice,656.3331181826252,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Vienna,451.25684205014494,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Leipzig,Zurich,521.1517772353579,0.0,179015.2210855959,179015.2210855959,0.0006687551876167889,0.0,1.0,False,True
Liege,Lille,177.18415361774257,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,Lisbon,1756.2962553657453,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Liege,London,409.38896927695885,0.0,0.0,0.0,0.0,0.5,0.5,False,False
