scenario,p_disrupt,city,avg_stranded,avg_index
A,0.6,Brussels,46.2,0.151
A,0.6,Berlin,17.7,0.047299999999999995
B,0.6,Strasbourg,3.0,0.017666666666666667
B,0.6,Hannover,3.5,0.019
B,0.6,Cologne,3.0,0.011
B,0.6,Vienna,5.333333333333333,0.020333333333333335
B,0.6,Leipzig,2.0,0.013999999999999999
B,0.6,Geneva,5.666666666666667,0.03333333333333333
B,0.6,Frankfurt,5.666666666666667,0.011000000000000001
B,0.6,Paris,13.333333333333334,0.018
B,0.6,Venice,1.3333333333333333,0.009
B,0.6,Amsterdam,2.6666666666666665,0.005666666666666667
B,0.6,Hamburg,3.6666666666666665,0.013666666666666667
B,0.6,Munich,3.6666666666666665,0.008666666666666668
B,0.6,Lisbon,1.6666666666666667,0.006666666666666667
B,0.6,Madrid,7.0,0.013333333333333334
B,0.6,Bremen,1.0,0.009
B,0.6,Barcelona,4.666666666666667,0.010333333333333333
B,0.6,Palma,1.5,0.0075
B,0.6,Zurich,95.0,0.33466666666666667
B,0.6,Rotterdam,1.0,0.008
B,0.6,Milan,7.666666666666667,0.016666666666666666
B,0.6,Marseille,1.0,0.007
B,0.6,Porto,1.5,0.0105
B,0.6,Brussels,3.6666666666666665,0.011000000000000001
B,0.6,London,7.666666666666667,0.011666666666666667
B,0.6,Berlin,3.0,0.007999999999999998
B,0.6,Rome,2.3333333333333335,0.006666666666666667
B,0.6,Seville,1.0,0.008
C,0.6,Strasbourg,3.0,0.016999999999999998
C,0.6,Granada,12.0,0.333
C,0.6,Cologne,1.75,0.00625
C,0.6,Vienna,2.3333333333333335,0.008666666666666666
C,0.6,Geneva,3.0,0.017
C,0.6,Frankfurt,4.333333333333333,0.0085
C,0.6,Paris,5.166666666666667,0.006999999999999999
C,0.6,Stuttgart,2.5,0.021
C,0.6,Murcia,11.0,0.3095
C,0.6,Venice,1.8,0.0126
C,0.6,Lyon,1.0,0.007
C,0.6,Toulouse,1.75,0.01375
C,0.6,Amsterdam,6.0,0.0128
C,0.6,Hamburg,3.3333333333333335,0.012333333333333335
C,0.6,Munich,4.8,0.011
C,0.6,Lisbon,44.166666666666664,0.1605
C,0.6,Madrid,11.166666666666666,0.021666666666666667
C,0.6,Barcelona,6.5,0.014333333333333332
C,0.6,Palma,2.0,0.01
C,0.6,Zurich,3.2,0.0106
C,0.6,Rotterdam,1.0,0.008
C,0.6,Valencia,3.0,0.054
C,0.6,Milan,4.0,0.008666666666666668
C,0.6,Marseille,1.0,0.007
C,0.6,Porto,35.833333333333336,0.2901666666666667
C,0.6,Brussels,1.6666666666666667,0.005333333333333333
C,0.6,London,12.0,0.0175
C,0.6,Berlin,2.8,0.0076
C,0.6,Rome,4.5,0.013
C,0.6,Seville,2.0,0.0156
A,0.7,Strasbourg,4.625,0.02475
A,0.7,Duisburg,34.4,0.2515
A,0.7,Geneva,5.0,0.027222222222222224
A,0.7,Frankfurt,20.1,0.039
A,0.7,Paris,36.1,0.0488
A,0.7,Venice,4.571428571428571,0.03257142857142857
A,0.7,Antwerp,18.7,0.329
A,0.7,Hamburg,55.0,0.19680000000000003
A,0.7,Bremen,32.1,0.2993
A,0.7,Nuremberg,10.333333333333334,0.06577777777777777
A,0.7,Rotterdam,43.0,0.3175
A,0.7,Palermo,2.2,0.0498
A,0.7,London,123.5,0.18249999999999997
A,0.7,Liege,9.444444444444445,0.1781111111111111
A,0.7,Rome,10.3,0.029500000000000005
A,0.7,Seville,3.2,0.0246
A,0.7,Utrecht,29.3,0.215
A,0.7,Hannover,18.3,0.10289999999999999
A,0.7,Cologne,31.5,0.12040000000000002
A,0.7,Vienna,12.777777777777779,0.049444444444444444
A,0.7,Leipzig,3.7142857142857144,0.028999999999999998
A,0.7,Dortmund,53.111111111111114,0.28099999999999997
A,0.7,Lille,22.2,0.3134
A,0.7,Dusseldorf,39.0,0.272
A,0.7,Stuttgart,3.625,0.028125
A,0.7,Lyon,1.6666666666666667,0.012500000000000002
A,0.7,Toulouse,3.3333333333333335,0.027555555555555555
A,0.7,Amsterdam,90.5,0.19790000000000002
A,0.7,Munich,16.1,0.037
A,0.7,Essen,46.9,0.2913
A,0.7,Lisbon,9.2,0.034199999999999994
A,0.7,The Hague,19.9,0.2582
A,0.7,Madrid,16.2,0.030899999999999993
A,0.7,Barcelona,13.8,0.030199999999999998
A,0.7,Palma,8.1,0.0389
A,0.7,Zurich,10.7,0.03610000000000001
A,0.7,Milan,12.6,0.0268
A,0.7,Marseille,2.5,0.019249999999999996
A,0.7,Porto,4.777777777777778,0.03733333333333334
A,0.7,Turin,3.0,0.026999999999999996
A,0.7,Brussels,74.7,0.24339999999999998
A,0.7,Berlin,23.0,0.06060000000000001
B,0.7,Strasbourg,2.8,0.0162
B,0.7,Hannover,2.2,0.0122
B,0.7,Cologne,1.5,0.00575
B,0.7,Vienna,6.2,0.022799999999999997
B,0.7,Leipzig,2.25,0.018000000000000002
B,0.7,Geneva,5.8,0.0328
B,0.7,Frankfurt,6.8,0.0132
